audit,2011B,2011C,2011D,2011E,2012B,2012C,2012D,2012E,2013B,2013C,2013D,2013E,2014B,2014C,2014D,2014E,2015B,2015C,2015D,2015E,2016B,2016C,2016D,2016E,2017B,2017C,2017D,2017E
N,1.62,67.79,0.62,6.4,-1.67,66.72,0.5,7.15,0.34,71.4,0.35,4.71,-10.71,94.82,0.47,5.35,-2.35,102.43,0.35,4.46,-9.22,124.02,0.3,3.88,-9.69,115.85,0.27,4.02
N,-24.58,44.49,0.43,2.3,2.13,40.71,0.7,4.45,-59.6,146.19,0.4,3.47,-33.88,44.43,0.18,2.86,-15.53,11.16,0.17,4.04,-14.76,38.46,0.45,15.72,-27.36,25.78,0.21,3.85
N,9.22,56.27,1.13,8.1,10.07,22.59,0.68,8.64,1.27,33.53,0.56,11.33,1.83,36.15,0.95,23.21,-3.51,40.85,0.61,14.71,3.33,37.86,0.52,7.03,3.02,36.38,0.6,7.46
N,6.84,81.9,0.55,2.83,3.99,38.68,0.45,2.37,-2.69,16.04,0.53,2.4,2.29,17.61,0.56,2.5,4.34,13.87,0.6,2.66,4.78,6.58,0.58,2.69,-0.37,15.85,0.35,2.57
N,-21.2,84.2,0.83,12.39,0.49,51.55,0.61,7.64,-73.87,27.3,0.76,6.76,-22.45,32.21,0.3,3.26,3.78,28.82,0.55,4.43,-8.92,84.74,0.43,3.46,-11.57,55.83,0.26,2.52
N,-2.38,98.6,0.57,6.59,-1.78,95.75,0.59,7.24,-0.81,91.93,0.67,8.13,1.19,79.7,0.72,8.5,2.49,68.64,0.74,10.32,0.8,76.48,0.83,12.26,-1.43,98.34,0.83,7.63
N,4.69,177.48,1.27,4.22,8.13,165.39,1.29,4.59,8.6,134.94,0,0,4,6.13,0.02,0.19,1.54,16.7,0.05,4.78,1.88,34.24,0.07,3.85,0.87,52.39,0.08,3.11
N,-3.09,27.9,0.44,3.42,-1.42,35.68,0.54,4.13,5.81,33.53,0.49,3.88,10.67,47.76,0.55,3.56,11.87,54.92,0.53,2.84,5.9,27.19,0.39,2.59,5.6,15.29,0.34,2.95
N,-23.88,373.05,0.86,12.85,-12.96,251.14,0.94,11.47,-24.33,261.86,4.25,50.81,-63.91,39.65,1.15,11.63,-27.13,22.75,0.25,1.6,-45.81,98.89,0.65,3.82,-55.58,316.14,0.69,4.64
N,5.63,56.1,1.08,5.77,4.18,61.03,0.81,4.49,6.25,73.23,0.8,4.14,2.67,74,0.78,3.94,6.3,74.59,0.77,3.71,5.58,70.56,0.76,3.2,2.09,67.18,0.7,3.12
N,-6.42,25.34,1.51,4.21,9.08,57.57,2.59,14.29,-86.29,481.3,2.68,10.96,-49.71,18.18,0.53,1.6,-34.23,22.33,0.04,0.14,-5.98,9.42,0.6,2.31,-3.26,3.88,0.35,1.64
N,7.13,80.93,1.2,8.21,4.74,81.85,1.25,7.58,2.13,97.09,1.12,6.71,2.2,83.42,0.96,4.84,-3.7,74.63,0.96,4.4,3.5,57.8,1.03,5.35,1.52,36.48,0.92,5.7
N,7.22,172.26,1.07,3.06,8.22,116.33,1.1,2.93,9.55,98.4,1.24,2.94,4.16,96.35,1.26,3.07,5.35,88.15,1.28,3.4,8.77,77.44,1.37,3.69,8.9,64.08,1.36,3.59
N,6.42,57.4,0.43,5.35,5.66,52.27,0.41,4.58,2.64,83.26,0.29,4.79,1.87,101.64,0.3,5.46,3.78,71.23,0.31,5.27,0.88,66.72,0.28,9.34,-0.93,68.73,0.14,8.14
N,8.36,126.34,1.35,6.93,3.69,119.36,1.21,4.84,13.48,81.03,1.25,4.89,10.36,53.72,1.23,4.88,4.95,61.39,1.16,4.72,5.5,62.14,1.13,4.78,3.08,54.91,1.07,4.52
N,0.32,75.84,1.25,8.24,0.29,60.3,0.86,7.78,-1.94,60.6,0.73,6.64,0.95,79.02,0.98,5.71,-0.86,57.89,0.81,3.85,-20.24,76.08,0.82,4.05,-33.41,91.71,0.86,3.95
N,10.83,63.23,1.41,5.65,8,61.75,0.91,5.59,2.32,59.99,0.87,6.86,0.74,58.3,0.86,5.84,1.51,43.17,0.78,5.48,3.41,36.97,0.83,5.8,4.23,45.61,0.93,6.06
N,15.76,62.1,1.08,2.45,12.22,54.1,0.85,1.9,-1.93,25.39,0.6,1.75,-7.84,31.59,0.45,2.09,3.83,35.72,0.66,2.55,7.03,38.1,0.81,2.28,21.27,66.05,1.36,3.82
N,8.13,0.08,0.07,0,2.1,0.05,0.01,0,5.84,0.1,0.07,0,6.46,0.11,0.07,0,8.44,9.84,0.09,0,3.94,10.48,0.07,0,10,10.12,0.04,0
N,-1.07,42.06,0.68,5.97,4.34,33.46,0.8,5.31,-3.92,27.29,0.69,5.04,-2.82,34.74,0.39,4.7,1.23,50.15,0.24,5.55,0.59,56.48,0.27,5.38,5.95,49.02,0.2,2.89
N,-10.14,325.49,0.92,4.28,-3.06,240.46,0.91,4.39,0.93,176.46,0.93,5.01,4.61,151.81,0.86,4.32,-1.17,97.75,0.8,4.4,2.07,95.95,0.97,5.33,-0.95,96.48,0.82,5.17
N,-0.91,21.71,0.27,3.66,-22.71,37.56,0.25,2.79,-29.28,16.41,0.22,1.84,2.25,13.18,0.35,2.97,-0.75,13.67,0.23,2.04,-18.33,15.33,0.31,2.2,1.97,11.8,0.31,2.16
N,-1.81,124.68,1.28,2.9,5.98,103.81,1.33,2.75,11.12,51.41,1.41,3.21,13.56,60.28,1.35,3.13,6.42,72.69,1.14,2.64,7.92,74.26,1.02,2.34,4.18,55.67,0.96,2.19
N,-17.62,1401.47,1.05,3.08,-8.12,232.76,1.11,3.23,1.81,214.35,1.32,4.17,1.66,182.97,1.31,4.18,2.93,155.56,1.11,3.75,2.64,148.55,1.07,3.64,1,88.95,1.07,3.52
N,6.68,14.71,0.4,6.69,11.02,15.01,0.43,7.78,9.2,13.65,0.39,7.38,9.51,16.62,0.38,7.25,6.13,36.92,0.31,6.56,10.66,42.03,0.37,7.57,9.48,40.81,0.35,7.17
N,6.89,40.8,1.09,4.59,1.16,25.49,0.97,4.39,-3.61,34.06,0.99,4.87,-1.35,28.49,1,5.16,1.47,33.68,1.15,5.81,5.95,34.29,1.14,6,5.3,29.05,1.06,5.66
N,-12.57,7.45,0.06,1.99,-28.94,2.25,0.19,8.17,-12.26,2.29,0.04,3.46,-11.68,3.49,0.1,6.3,7.04,4.66,0.25,10.79,3.09,6.05,0.28,10.7,0.87,150.02,0.24,7.12
N,4.09,14.5,0.56,5.16,3.57,17.73,0.76,5.91,2.41,13.43,0.73,6.47,0.38,11.55,0.58,7.44,2.5,13.73,0.73,10.95,1.47,16.91,0.77,10.13,1.71,20.11,0.8,11.01
N,3.24,95.66,0.38,3.1,1.44,96.25,0.36,3.1,0.87,127.94,0.29,2.87,2.9,82.21,0.28,2.81,-1.14,71.15,0.36,3.24,1.1,69.83,0.42,3.26,1.49,56.51,0.43,2.94
N,15.53,42.91,0.72,3.57,4.3,41.32,0.81,3.49,4.63,49.9,0.81,3.68,2.6,40.61,0.67,3.73,1.31,24.15,0.59,3.9,0.82,17.49,0.6,3.31,6.42,15.86,0.72,3.34
N,0.4,106.71,0.87,7.11,1.42,139.5,1.31,7.92,-3.65,183.19,1.39,6.63,1.94,166.63,1.36,6.22,-1.83,188.73,1.08,4.57,-1.88,160.46,1.28,5.73,2.36,149.81,1.37,7.44
