audit,2007A,2007B,2007C,2007D,2007E,2008A,2008B,2008C,2008D,2008E,2009A,2009B,2009C,2009D,2009E,2010A,2010B,2010C,2010D,2010E,2011A,2011B,2011C,2011D,2011E,2012A,2012B,2012C,2012D,2012E,2013A,2013B,2013C,2013D,2013E,2014A,2014B,2014C,2014D,2014E,2015A,2015B,2015C,2015D,2015E,2016A,2016B,2016C,2016D,2016E,2017A,2017B,2017C,2017D,2017E
Y,275.59,-0.87,22.06,0.37,6.31,162.54,-38.75,38.64,0.53,8.34,177.72,3,34.58,0.87,9.61,141.93,-13.87,96.14,0.67,7.11,101.27,-0.39,89.42,0.45,4.32,80.52,-2.23,91.08,0.51,4.62,93.03,-17.12,80.7,0.54,4.13,75.71,-15.86,112.21,0.62,3.63,87.07,-0.91,108.6,0.69,3.57,121.35,-8.84,109.41,0.83,3.89,211.06,10.06,61.09,0.95,3.79
Y,167.5,14.87,71.55,1.26,2.92,163.28,9.87,111.35,1.82,3.42,257.5,9.68,55.03,1.31,2.29,174.16,13.72,86.85,1.73,2.98,195.31,10.87,76.92,1.21,2.15,207.76,8,63.88,1.14,2.19,188.04,6.09,68.54,1.05,2.08,211.02,8.17,59.42,1.18,2.14,230.93,3.5,51.46,0.9,1.87,200.95,-16.95,50.01,0.67,1.66,350.13,-3.01,32.01,0.9,2.19
Y,64.52,-4.28,665.07,1.2,7.61,92.22,16.5,214.6,0.92,6.07,75.55,-20.89,462.18,0.86,4.43,87.34,2.28,278.14,0.95,4.17,98.57,1.95,289.63,1.14,6.55,122.69,1.37,400.35,0.92,7.2,108.69,0.63,451.76,0.55,4.98,105.64,-5.91,455.08,0.67,4.64,81.04,-6.18,785.28,0.63,3.24,92.39,6.74,461.35,0.64,3.08,84.3,-3.4,536.42,0.62,3.1
Y,91.7,-8.23,191.58,0.37,1.46,85.13,-149.32,180.45,0.69,1.86,88.48,-28.53,72.99,0.41,1.56,79.59,-12.41,184.22,0.39,1.77,97.9,3.46,49.98,0.46,1.96,71.87,-80.31,133,0.46,1.57,86.06,-13.26,221.06,1.09,2.26,160.87,-21.96,82.27,0.91,2.11,147.08,2.04,105.35,0.79,2.29,342.22,1.35,46.94,0.68,2.33,149.04,-24.03,115.77,0.24,1.02
Y,548.08,10.77,110.28,0.92,2.03,88.97,1.8,186.61,0.57,1.58,104.49,1.66,132.78,0.48,1.42,724.53,-6.32,85.77,0.47,1.2,369.81,0.44,116.97,0.45,1,321.66,-6.19,127.38,0.4,1,290.37,-6.09,169.25,0.56,1.5,85.69,-0.98,167.62,0.53,1.21,295.04,4.48,52.88,0.51,1.15,280.84,15.37,32.67,0.59,1.2,304.17,9.69,38.04,0.5,1.01
Y,154.14,0.68,344.45,0.35,1.56,146.25,1.21,196.27,0.74,2.99,132.95,0.79,231.29,0.49,1.87,107.87,-0.79,211.25,0.42,1.63,121.27,-1.92,212.4,0.38,1.7,113.85,0.22,218.65,0.34,1.7,78.29,-3.61,223.6,0.33,2.1,84.34,-5.42,235.64,0.32,2.49,62.02,-8,276.52,0.42,3.12,100.16,-7.45,325.65,0.46,3.69,54.92,-8.24,487.9,0.48,3.87
Y,161.72,4.1,182.15,1.02,2.76,149.82,2.11,196.65,0.96,2.6,139.85,-0.6,252.78,1.11,2.93,155.7,-1.52,301.83,0.94,2.86,156.68,-0.09,304.13,0.7,2.62,126.16,0.2,366.49,0.67,2.7,123.26,-0.04,375.82,0.92,2.92,99.79,-9.7,590.29,0.76,2.31,98.74,1.76,532.59,0.97,3.89,89.97,1.79,455.58,1.17,5.17,119.98,4.59,389.82,1.2,5.05
Y,123.56,4.48,191.75,0.91,3.16,120.8,5.04,181.49,0.98,4.03,116.21,5.63,167.42,1.14,5.58,133.8,6.21,152.89,1.17,5.76,148,5.12,147.44,1.03,4.45,154.7,3.19,144.79,0.96,3.48,160.1,2.77,155.69,0.92,2.83,162.59,1.86,153.08,0.89,2.52,162.91,2.52,143.54,0.87,2.68,169.99,2.57,130.91,0.88,3.02,187.45,1.23,108.27,0.84,3
Y,113.18,0.17,82.12,0.25,1.94,76.54,6.92,178.75,0.69,10.48,89.05,1.91,110.11,0.66,6.08,125.49,0.72,94.73,0.51,2.04,131.82,-5.03,100.05,0.23,0.65,111.89,-7.38,120.47,0.12,0.29,100.89,-5.85,116.45,0.1,0.25,110.29,0.59,118.56,0.18,0.47,96.01,-7.12,150.52,0.04,0.1,142.68,8.22,91.84,0.19,0.39,36.37,-9.72,111.21,0.06,0.21
Y,292.92,10.19,37.39,1.31,6.47,187.56,0.18,48.03,0.51,4.03,228.09,1.34,37.57,0.56,5.7,158.69,-10.13,71.07,0.47,5.24,111.6,-21.85,105.26,0.55,5,184.33,2.43,35.78,0.4,3.64,91.56,-40.08,103.18,0.56,5.83,79.35,-5.34,99.4,0.61,5.81,43.36,-19.21,96.88,0.57,4.49,48.76,-9.73,68.47,0.65,5.41,44.83,-26.55,129.12,0.56,4.97
