audit,2011A,2011B,2011C,2011D,2012A,2012B,2012C,2012D,2013A,2013B,2013C,2013D,2014A,2014B,2014C,2014D,2015A,2015B,2015C,2015D,2016A,2016B,2016C,2016D,2017A,2017B,2017C,2017D
N,344.44,-3.09,27.9,0.44,452.75,-1.42,35.68,0.54,260.37,5.81,33.53,0.49,508.37,10.67,47.76,0.55,240.54,11.87,54.92,0.53,325.51,5.9,27.19,0.39,693.45,5.6,15.29,0.34
N,37.13,-23.88,373.05,0.86,85.42,-12.96,251.14,0.94,170.01,-24.33,261.86,4.25,226.14,-63.91,39.65,1.15,280.37,-27.13,22.75,0.25,133.14,-45.81,98.89,0.65,34.2,-55.58,316.14,0.69
N,172.42,5.63,56.1,1.08,163.9,4.18,61.03,0.81,143.95,6.25,73.23,0.8,106.88,2.67,74,0.78,114.08,6.3,74.59,0.77,136.26,5.58,70.56,0.76,173.5,2.09,67.18,0.7
N,419.63,-6.42,25.34,1.51,367.93,9.08,57.57,2.59,107.13,-86.29,481.3,2.68,701.09,-49.71,18.18,0.53,370.24,-34.23,22.33,0.04,816.2,-5.98,9.42,0.6,2834.11,-3.26,3.88,0.35
N,284.68,7.13,80.93,1.2,222.97,4.74,81.85,1.25,308.39,2.13,97.09,1.12,189.72,2.2,83.42,0.96,170.37,-3.7,74.63,0.96,191.23,3.5,57.8,1.03,234.67,1.52,36.48,0.92
N,176.47,7.22,172.26,1.07,100.76,8.22,116.33,1.1,149.9,9.55,98.4,1.24,134.42,4.16,96.35,1.26,133.71,5.35,88.15,1.28,152.68,8.77,77.44,1.37,177.24,8.9,64.08,1.36
N,220.08,6.42,57.4,0.43,244.16,5.66,52.27,0.41,242.8,2.64,83.26,0.29,140.79,1.87,101.64,0.3,168.04,3.78,71.23,0.31,185.71,0.88,66.72,0.28,166.43,-0.93,68.73,0.14
N,88,8.36,126.34,1.35,92.82,3.69,119.36,1.21,103.9,13.48,81.03,1.25,139.83,10.36,53.72,1.23,126.49,4.95,61.39,1.16,132.71,5.5,62.14,1.13,121.28,3.08,54.91,1.07
N,148.04,0.32,75.84,1.25,97.99,0.29,60.3,0.86,87.14,-1.94,60.6,0.73,96.3,0.95,79.02,0.98,100.58,-0.86,57.89,0.81,96.14,-20.24,76.08,0.82,69.62,-33.41,91.71,0.86
N,138.93,10.83,63.23,1.41,129.41,8,61.75,0.91,132.78,2.32,59.99,0.87,122.9,0.74,58.3,0.86,136.3,1.51,43.17,0.78,177.48,3.41,36.97,0.83,140.9,4.23,45.61,0.93
N,162.51,15.76,62.1,1.08,201.67,12.22,54.1,0.85,279.12,-1.93,25.39,0.6,259.49,-7.84,31.59,0.45,206.71,3.83,35.72,0.66,209.08,7.03,38.1,0.81,187.98,21.27,66.05,1.36
N,38981.75,8.13,0.08,0.07,74366.25,2.1,0.05,0.01,29866.52,5.84,0.1,0.07,22482.71,6.46,0.11,0.07,1525.64,8.44,9.84,0.09,2254.53,3.94,10.48,0.07,214.44,10,10.12,0.04
N,232.61,-1.07,42.06,0.68,435.99,4.34,33.46,0.8,312.21,-3.92,27.29,0.69,199.58,-2.82,34.74,0.39,130.92,1.23,50.15,0.24,104.74,0.59,56.48,0.27,62.2,5.95,49.02,0.2
N,118.46,-10.14,325.49,0.92,82.53,-3.06,240.46,0.91,63.65,0.93,176.46,0.93,57.93,4.61,151.81,0.86,69.08,-1.17,97.75,0.8,69.87,2.07,95.95,0.97,69.28,-0.95,96.48,0.82
N,348.79,-0.91,21.71,0.27,186.2,-22.71,37.56,0.25,210.51,-29.28,16.41,0.22,291.76,2.25,13.18,0.35,284.2,-0.75,13.67,0.23,339.94,-18.33,15.33,0.31,437.04,1.97,11.8,0.31
N,110.98,-1.81,124.68,1.28,117.48,5.98,103.81,1.33,175.91,11.12,51.41,1.41,158.78,13.56,60.28,1.35,132.41,6.42,72.69,1.14,127.44,7.92,74.26,1.02,144.72,4.18,55.67,0.96
N,78.34,-17.62,1401.47,1.05,96.03,-8.12,232.76,1.11,95.61,1.81,214.35,1.32,101.14,1.66,182.97,1.31,97.94,2.93,155.56,1.11,128.64,2.64,148.55,1.07,130.37,1,88.95,1.07
N,181.31,6.68,14.71,0.4,302.68,11.02,15.01,0.43,307.27,9.2,13.65,0.39,179.89,9.51,16.62,0.38,114.16,6.13,36.92,0.31,370.97,10.66,42.03,0.37,431.68,9.48,40.81,0.35
N,255.74,6.89,40.8,1.09,369.13,1.16,25.49,0.97,293.51,-3.61,34.06,0.99,321.67,-1.35,28.49,1,273.15,1.47,33.68,1.15,278.86,5.95,34.29,1.14,334.31,5.3,29.05,1.06
N,1522.33,-12.57,7.45,0.06,4016.86,-28.94,2.25,0.19,5121.22,-12.26,2.29,0.04,2801.24,-11.68,3.49,0.1,2349.62,7.04,4.66,0.25,909.31,3.09,6.05,0.28,333.42,0.87,150.02,0.24
N,769.12,4.09,14.5,0.56,538.79,3.57,17.73,0.76,754.81,2.41,13.43,0.73,1007.11,0.38,11.55,0.58,714.95,2.5,13.73,0.73,574.14,1.47,16.91,0.77,652.55,1.71,20.11,0.8
N,54.16,3.24,95.66,0.38,51.37,1.44,96.25,0.36,24.52,0.87,127.94,0.29,170.71,2.9,82.21,0.28,170.78,-1.14,71.15,0.36,79.03,1.1,69.83,0.42,116.22,1.49,56.51,0.43
N,232.67,15.53,42.91,0.72,228.1,4.3,41.32,0.81,180.51,4.63,49.9,0.81,266.98,2.6,40.61,0.67,413.82,1.31,24.15,0.59,773.78,0.82,17.49,0.6,620.73,6.42,15.86,0.72
N,128.59,0.4,106.71,0.87,127.76,1.42,139.5,1.31,112.02,-3.65,183.19,1.39,116.69,1.94,166.63,1.36,110.2,-1.83,188.73,1.08,116.95,-1.88,160.46,1.28,105.96,2.36,149.81,1.37
