audit,2011A,2011B,2011C,2011E,2012A,2012B,2012C,2012E,2013A,2013B,2013C,2013E,2014A,2014B,2014C,2014E,2015A,2015B,2015C,2015E,2016A,2016B,2016C,2016E,2017A,2017B,2017C,2017E
N,344.44,-3.09,27.9,3.42,452.75,-1.42,35.68,4.13,260.37,5.81,33.53,3.88,508.37,10.67,47.76,3.56,240.54,11.87,54.92,2.84,325.51,5.9,27.19,2.59,693.45,5.6,15.29,2.95
N,37.13,-23.88,373.05,12.85,85.42,-12.96,251.14,11.47,170.01,-24.33,261.86,50.81,226.14,-63.91,39.65,11.63,280.37,-27.13,22.75,1.6,133.14,-45.81,98.89,3.82,34.2,-55.58,316.14,4.64
N,172.42,5.63,56.1,5.77,163.9,4.18,61.03,4.49,143.95,6.25,73.23,4.14,106.88,2.67,74,3.94,114.08,6.3,74.59,3.71,136.26,5.58,70.56,3.2,173.5,2.09,67.18,3.12
N,419.63,-6.42,25.34,4.21,367.93,9.08,57.57,14.29,107.13,-86.29,481.3,10.96,701.09,-49.71,18.18,1.6,370.24,-34.23,22.33,0.14,816.2,-5.98,9.42,2.31,2834.11,-3.26,3.88,1.64
N,284.68,7.13,80.93,8.21,222.97,4.74,81.85,7.58,308.39,2.13,97.09,6.71,189.72,2.2,83.42,4.84,170.37,-3.7,74.63,4.4,191.23,3.5,57.8,5.35,234.67,1.52,36.48,5.7
N,176.47,7.22,172.26,3.06,100.76,8.22,116.33,2.93,149.9,9.55,98.4,2.94,134.42,4.16,96.35,3.07,133.71,5.35,88.15,3.4,152.68,8.77,77.44,3.69,177.24,8.9,64.08,3.59
N,220.08,6.42,57.4,5.35,244.16,5.66,52.27,4.58,242.8,2.64,83.26,4.79,140.79,1.87,101.64,5.46,168.04,3.78,71.23,5.27,185.71,0.88,66.72,9.34,166.43,-0.93,68.73,8.14
N,88,8.36,126.34,6.93,92.82,3.69,119.36,4.84,103.9,13.48,81.03,4.89,139.83,10.36,53.72,4.88,126.49,4.95,61.39,4.72,132.71,5.5,62.14,4.78,121.28,3.08,54.91,4.52
N,148.04,0.32,75.84,8.24,97.99,0.29,60.3,7.78,87.14,-1.94,60.6,6.64,96.3,0.95,79.02,5.71,100.58,-0.86,57.89,3.85,96.14,-20.24,76.08,4.05,69.62,-33.41,91.71,3.95
N,138.93,10.83,63.23,5.65,129.41,8,61.75,5.59,132.78,2.32,59.99,6.86,122.9,0.74,58.3,5.84,136.3,1.51,43.17,5.48,177.48,3.41,36.97,5.8,140.9,4.23,45.61,6.06
N,162.51,15.76,62.1,2.45,201.67,12.22,54.1,1.9,279.12,-1.93,25.39,1.75,259.49,-7.84,31.59,2.09,206.71,3.83,35.72,2.55,209.08,7.03,38.1,2.28,187.98,21.27,66.05,3.82
N,38981.75,8.13,0.08,0,74366.25,2.1,0.05,0,29866.52,5.84,0.1,0,22482.71,6.46,0.11,0,1525.64,8.44,9.84,0,2254.53,3.94,10.48,0,214.44,10,10.12,0
N,232.61,-1.07,42.06,5.97,435.99,4.34,33.46,5.31,312.21,-3.92,27.29,5.04,199.58,-2.82,34.74,4.7,130.92,1.23,50.15,5.55,104.74,0.59,56.48,5.38,62.2,5.95,49.02,2.89
N,118.46,-10.14,325.49,4.28,82.53,-3.06,240.46,4.39,63.65,0.93,176.46,5.01,57.93,4.61,151.81,4.32,69.08,-1.17,97.75,4.4,69.87,2.07,95.95,5.33,69.28,-0.95,96.48,5.17
N,348.79,-0.91,21.71,3.66,186.2,-22.71,37.56,2.79,210.51,-29.28,16.41,1.84,291.76,2.25,13.18,2.97,284.2,-0.75,13.67,2.04,339.94,-18.33,15.33,2.2,437.04,1.97,11.8,2.16
N,110.98,-1.81,124.68,2.9,117.48,5.98,103.81,2.75,175.91,11.12,51.41,3.21,158.78,13.56,60.28,3.13,132.41,6.42,72.69,2.64,127.44,7.92,74.26,2.34,144.72,4.18,55.67,2.19
N,78.34,-17.62,1401.47,3.08,96.03,-8.12,232.76,3.23,95.61,1.81,214.35,4.17,101.14,1.66,182.97,4.18,97.94,2.93,155.56,3.75,128.64,2.64,148.55,3.64,130.37,1,88.95,3.52
N,181.31,6.68,14.71,6.69,302.68,11.02,15.01,7.78,307.27,9.2,13.65,7.38,179.89,9.51,16.62,7.25,114.16,6.13,36.92,6.56,370.97,10.66,42.03,7.57,431.68,9.48,40.81,7.17
N,255.74,6.89,40.8,4.59,369.13,1.16,25.49,4.39,293.51,-3.61,34.06,4.87,321.67,-1.35,28.49,5.16,273.15,1.47,33.68,5.81,278.86,5.95,34.29,6,334.31,5.3,29.05,5.66
N,1522.33,-12.57,7.45,1.99,4016.86,-28.94,2.25,8.17,5121.22,-12.26,2.29,3.46,2801.24,-11.68,3.49,6.3,2349.62,7.04,4.66,10.79,909.31,3.09,6.05,10.7,333.42,0.87,150.02,7.12
N,769.12,4.09,14.5,5.16,538.79,3.57,17.73,5.91,754.81,2.41,13.43,6.47,1007.11,0.38,11.55,7.44,714.95,2.5,13.73,10.95,574.14,1.47,16.91,10.13,652.55,1.71,20.11,11.01
