audit,2011A,2011B,2011C,2011D,2011E,2011F,2012A,2012B,2012C,2012D,2012E,2012F,2013A,2013B,2013C,2013D,2013E,2013F,2014A,2014B,2014C,2014D,2014E,2014F,2015A,2015B,2015C,2015D,2015E,2015F
N,17.6,85.03,113.19,68215879000,1.29,61.86,16.38,85.92,314.54,69208494000,1.15,52.05,15.22,86.79,263.43,68811453000,1.07,51.93,15.2,86.8,278.42,69317082000,1.1,47.13,17.97,84.77,238.09,70929353000,1.11,40.05
N,598.55,14.32,113.19,1.97E+11,0.67,7.2,321.47,23.73,60.73,2.25E+11,1.21,11.35,172.18,36.74,55.46,2.11E+11,1.23,10.59,204.84,32.8,42.57,2.60E+11,0.86,7.03,569.28,14.94,50.71,2.86E+11,0.68,5.64
N,16.73,85.67,113.19,50819454000,0.81,3.77,8.38,92.27,425.59,51821898000,0.9,4.36,9.1,91.66,437.17,60360045000,0.86,4.49,12.55,88.85,439.24,67807719000,0.77,4.53,15.3,86.73,254.28,73014416000,0.77,4.94
N,120.8,45.29,113.19,73421151000,0.2,4.88,144.77,40.86,33.87,78743980000,0.16,3.84,115.2,46.47,33.52,74208210000,0.15,3.78,268.01,27.17,35.61,56204205000,0.16,3.85,52.7,65.49,28.87,67182115000,0.15,3.52
N,61.23,62.02,113.19,53014572000,0.32,53.47,135.41,42.48,45.62,50076757000,0.33,77.73,145.85,40.68,53.42,53939304000,0.42,62.27,160.75,38.35,64.83,58008678000,0.36,22.69,122.66,44.91,36.95,56953026000,0.39,14.5
N,287.63,25.8,113.19,2.08E+11,1.58,244.31,60.4,62.35,104.65,1.78E+11,1.21,334.94,53.8,65.02,124.27,1.23E+11,0.88,175.4,35.65,73.72,278.82,1.08E+11,0.98,290.04,113.25,46.89,49.23,1.61E+11,1.17,208.35
N,22.56,81.59,113.19,58589814000,0.72,100.3,8.91,91.82,600.05,57672004000,0.7,406.72,9.46,91.36,539.47,61005891000,0.59,427.93,10.21,90.74,557.68,63969224000,0.53,383.5,11.7,89.53,564.15,68633920000,0.51,386.12
N,22.74,81.47,113.19,3.81E+11,0.62,50.86,19.09,83.97,429.24,4.31E+11,0.53,44.6,60.6,62.27,14.79,6.56E+11,0.38,45.64,45.5,68.73,19.73,6.53E+11,0.31,44.86,34.21,74.51,16.98,6.59E+11,0.31,41.78
N,28.88,77.59,113.19,38168437000,1.51,8.1,25.67,79.57,481.02,34688978000,2.05,13.41,22.5,81.63,572.89,32224379000,1.8,10.6,22.17,81.85,638.41,30633860000,1.36,7.9,43.59,69.64,320.19,28466994000,1.76,9.57
N,16.97,85.49,113.19,80132228000,0.8,20.51,16.23,86.04,503.26,80799111000,0.89,16.97,17.77,84.91,436.45,80298300000,0.82,13.24,15.9,86.28,564.92,82330110000,0.94,16.39,17.5,85.11,534.51,87297979000,0.96,17.67
N,95.72,51.09,113.19,88608125000,1.26,4.93,75.53,56.97,99.2,95579008000,1.33,5.02,65.24,60.52,105.4,1.03E+11,1.4,5.23,58.34,63.16,119.5,1.19E+11,1.43,5.21,57.74,63.39,159.39,1.30E+11,1.24,4.83
N,134.53,42.64,113.19,1.10E+11,1.54,5.7,157.36,38.86,103.1,1.34E+11,0.98,4.57,167.87,37.33,110.84,1.41E+11,0.79,4.26,115.17,46.47,118.05,1.14E+11,0.79,4.24,82.21,54.88,122.33,1.23E+11,0.78,3.92
N,51.25,66.12,113.19,55956671000,0.51,7.51,44.26,69.32,117.28,57364445000,0.43,5.23,38.77,72.06,141.81,62326679000,0.54,7.04,28.04,78.1,191.96,61024686000,0.57,7.88,51.28,66.1,179.5,81523868000,0.71,7.83
N,20.76,82.81,113.19,88103495000,0.74,4.91,11.5,89.69,200.45,86337070000,0.56,2.86,7.89,92.69,548.88,84093222000,0.41,2.12,10.67,90.36,538.69,91065078000,0.52,3.65,9.95,90.95,548.78,1.03E+11,0.64,6.01
N,61.38,61.97,113.19,50954217000,1.31,24.97,54.5,64.72,205.12,52920005000,1.21,22.86,86.26,53.69,133.27,76017350000,1.17,23.73,89.53,52.76,129.61,79415631000,0.88,16.68,87.2,53.42,147.4,80629948000,0.86,13.9
N,5.67,94.63,113.19,45021787000,0.79,11.75,6.53,93.87,1127.98,47994457000,0.69,12.45,5.59,94.7,1345.02,49937004000,0.67,10.83,5.71,94.6,1240.03,52908490000,0.7,11.61,13.11,88.41,888.91,61275232000,0.73,12.45
N,11.42,89.75,113.19,29150811000,0.87,6.26,12.12,89.19,700.38,26880948000,0.5,6.93,11.54,89.65,647.27,25758363000,0.36,8.88,20.72,82.84,820.37,29181210000,0.76,34.9,24.36,80.41,538.48,30249035000,0.77,58.9
N,104.73,48.84,113.19,46347129000,1.04,16.01,94.5,51.41,127.38,51062616000,0.9,15.93,251.66,28.44,66.62,34508798000,0.86,12.67,217.96,31.45,90.22,28884288000,0.93,9.69,57.4,63.53,168.17,23597566000,0.85,8.42
N,24.9,80.06,113.19,1.03E+11,1.83,11.42,30.27,76.76,228.97,1.24E+11,1.56,12.34,42.3,70.27,170,1.69E+11,1.91,18.93,37.76,72.59,217.64,2.05E+11,1.8,25.62,24.93,80.04,275.25,1.96E+11,1.33,35.19
N,61.97,61.74,113.19,3.52E+12,0.29,34.5,63.44,61.18,102.35,3.89E+12,0.28,29.91,54.62,64.67,85.59,4.12E+12,0.28,29.73,42.32,70.27,49.36,4.07E+12,0.27,24.41,52.33,65.65,79.23,4.59E+12,0.28,22.94
N,110.66,47.47,113.19,7814630000,2.33,28.95,98.53,50.37,176.95,8475201000,2.68,27.36,71.12,58.44,155.9,8061968000,1.58,11.89,53.06,65.33,174.4,8261518000,1.71,11.94,70.54,58.64,127.48,10802806000,2.15,19.11
N,26.82,78.85,113.19,63036039000,1.04,3.45,18.68,84.26,93.17,64299189000,1.11,3.41,27.25,78.59,119.37,76393409000,1.18,4.11,30.99,76.34,156.85,83432593000,1.11,4.85,24.3,80.45,164.42,91725502000,1.45,7.4
N,29.21,77.39,113.19,27965576000,0.95,3.75,72.83,57.86,115.2,36419755000,0.72,3.1,104.42,48.92,99.77,37435546000,0.59,3.31,94,51.55,102.91,34676328000,0.56,3.41,63.32,61.23,110.65,42163363000,0.65,3.57
N,13.31,88.25,113.19,6.96E+11,0.74,3.07,10.63,90.4,384.63,7.42E+11,0.68,2.79,11.24,89.9,203.46,7.95E+11,0.6,2.51,12.33,89.02,171.22,8.50E+11,0.62,2.35,15.23,86.78,210.52,9.51E+11,0.68,2.45
N,123.71,44.7,113.19,1.19E+11,1.05,4.93,107.24,48.25,97.77,1.20E+11,0.77,4.5,118.67,45.73,71.16,1.41E+11,0.65,3.53,118.5,45.77,55.71,1.68E+11,0.67,3.4,112.36,47.09,82.11,2.09E+11,0.71,3.85
N,96.61,50.86,113.19,19792651000,1.37,10.22,51.04,66.21,227.82,22406378000,1.67,11.08,41.72,70.56,284.72,31915626000,1.71,15.46,10.03,90.88,985.42,48600838000,1.46,18.14,8.11,92.5,1173.65,49187507000,0.56,10.71
N,167.61,37.37,113.19,14469414000,1.81,143.44,87.06,53.46,146.32,17360018000,1.26,63.51,139.24,41.8,166.28,22395953000,1.45,43.62,24.42,80.37,448.91,34498114000,1.42,64.18,55.79,64.19,171.56,46714476000,1.48,79.94
N,247.79,28.75,113.19,2.37E+11,0.5,2.48,284.73,25.99,36.23,2.46E+11,0.57,3.21,286.48,25.87,17.14,2.14E+11,0.27,1.35,539.56,15.64,17.71,1.03E+11,0.43,1.85,25.88,79.44,40.07,63310352000,0.3,2.15
N,116.85,46.11,113.19,81635116000,1.38,19.1,119.64,45.53,80.4,81990887000,1.93,38.21,130.05,43.47,91.26,92223057000,1.73,33.84,84.18,54.3,113.83,81128022000,1.79,29.55,24.58,80.27,205.95,47292520000,1.38,20.6
