audit,2011A,2011B,2011C,2011D,2011E,2011F,2012A,2012B,2012C,2012D,2012E,2012F,2013A,2013B,2013C,2013D,2013E,2013F,2014A,2014B,2014C,2014D,2014E,2014F,2015A,2015B,2015C,2015D,2015E,2015F
Y,555.44,15.26,35.53,26977605000,0.26,1.34,1169.3,7.88,51.61,27279296000,2.29,14.36,538.05,15.67,66.75,28213662000,2.85,23.34,386.27,20.56,60.18,39242593000,2.72,14.83,364.05,21.55,47.59,45376203000,2.03,7.03
Y,364.67,21.52,84.97,7751611000,1.27,62.34,251.94,28.41,85.26,15948951000,1.68,47.17,253.86,28.26,67.45,18051604000,1.34,11.66,231.28,30.19,79.32,17262392000,1.52,11.31,200.85,33.24,58.54,15440702000,1.31,13.58
Y,1195.47,7.72,67.87,10408902000,4.72,48.09,411.05,19.57,79.49,9668639000,4.97,32.09,0,0,45.87,9548360000,5.09,28.71,1070.55,8.54,48.48,11699269000,3.69,14.16,926.91,9.74,46.53,15762145000,3.13,15.3
N,30.26,76.77,113.19,51986148000,0.5,5.81,68.17,59.46,60.69,70610811000,0.47,5.8,85.18,54,92.23,86017736000,0.43,6.57,81.63,55.06,58.65,78187346000,0.43,6.88,54.33,64.8,74.22,78506507000,0.52,5.45
N,170.35,36.99,113.19,2.59E+11,0.56,13.28,173.84,36.52,70.46,2.59E+11,0.58,13.12,172.13,36.75,66.37,2.51E+11,0.56,12.85,181.04,35.58,49.06,2.51E+11,0.63,15.4,135.89,42.39,43.81,2.14E+11,0.56,13.09
N,34.05,74.6,113.19,26582985000,0.67,3.7,29.19,77.4,209.21,25492399000,0.63,3.53,46.81,68.11,104.54,28944873000,0.79,3.98,31.48,76.06,139.72,27790966000,0.89,4.15,29.19,77.4,193.27,32418567000,1.03,5.45
N,118,45.87,113.19,1.12E+11,0.74,10.63,96.2,50.97,44.4,80523141000,0.45,16.31,106.94,48.32,48.67,84306935000,0.42,64.96,132.84,42.95,48.16,88596503000,0.63,23.96,157.56,38.83,48.6,95080415000,0.55,9.27
N,364.35,21.54,113.19,3.42E+13,0.96,10.22,394.05,20.24,93.04,3.94E+13,0.94,13.16,397.56,20.1,114.23,4.23E+13,0.92,17.15,403.18,19.87,100.41,4.51E+13,0.84,12.18,357.12,21.88,141.75,4.04E+13,0.6,9.62
N,19.24,83.87,113.19,5.42E+12,0.47,2.63,20.69,82.86,226.2,5.92E+12,0.47,2.97,20.86,82.74,211.37,6.08E+12,0.42,2.77,17.84,84.86,263.7,6.29E+12,0.44,2.96,26.33,79.16,216.2,7.45E+12,0.41,3.14
N,27.09,78.68,113.19,20236343000,0.81,4.41,32.13,75.68,160.61,21387510000,0.72,4.11,56.63,63.85,216.7,27285930000,0.68,3.98,43.11,69.88,271.53,41659791000,0.59,4.19,42.27,70.29,99.23,44001896000,0.59,4.01
N,96.37,50.92,113.19,1.14E+11,0.57,6.64,74.34,57.36,162.58,1.07E+11,0.54,6.35,63.18,61.28,108.74,1.01E+11,0.53,5.44,70.8,58.55,89.55,1.05E+11,0.66,5.87,64.24,60.89,81.39,1.04E+11,0.69,5.98
N,20.79,82.79,113.19,60816159000,0.68,10.35,31.08,76.29,1053.19,71635731000,0.58,8.75,48.69,67.25,704.38,79845962000,0.45,7.38,46.93,68.06,440.58,84571556000,0.5,5.89,40.75,71.05,396.19,90203152000,0.53,5.17
N,38.92,71.98,113.19,28335618000,0.56,4.75,12.57,88.84,875.54,27228954000,0.63,4.76,13.66,87.98,537.71,33665991000,0.66,4.64,12.36,89,364.57,44927929000,0.53,4.39,20.36,83.09,240.97,52584319000,0.47,4.52
N,172.04,36.76,113.19,1.87E+11,0.34,9.76,108.05,48.06,78.78,1.64E+11,0.44,8.93,78.19,56.12,106.11,1.63E+11,0.5,11,61.7,61.84,114.64,1.61E+11,0.52,12.15,45.8,68.59,111.74,1.57E+11,0.48,10.19
N,497.83,16.73,113.19,30999378000,0.99,5.8,339.14,22.77,85.91,26500555000,1.08,7.16,338.04,22.83,88.62,23405184000,1.01,6.07,242.69,29.18,93.84,19306435000,1.15,6.39,68.25,59.44,217.49,39126934000,0.83,7.6
N,67.79,59.6,113.19,1.41E+11,0.62,5.89,66.72,59.98,61.45,1.35E+11,0.5,6.03,71.4,58.34,88.48,1.39E+11,0.35,4.55,94.82,51.33,71.37,1.26E+11,0.47,5.75,102.43,49.4,37.95,1.24E+11,0.35,4.2
N,44.49,69.21,113.19,16176246000,0.43,12.43,40.71,71.07,119.6,16690582000,0.7,8.34,146.19,40.62,664.45,27951391000,0.4,5.78,44.43,69.24,296.64,31428037000,0.18,4.78,11.16,89.96,758.1,24258955000,0.17,8.99
N,56.27,63.99,113.19,1.47E+11,1.13,86.05,22.59,81.57,263.17,1.32E+11,0.68,98.31,33.53,74.89,120.75,1.45E+11,0.56,26.64,36.15,73.45,110.51,1.49E+11,0.95,21.45,40.85,71,193.04,1.46E+11,0.61,13.69
N,81.9,54.97,113.19,1.22E+11,0.55,2.49,38.68,72.11,180.41,1.03E+11,0.45,1.93,16.04,86.18,563.06,83024906000,0.53,2.05,17.61,85.02,382.64,87283599000,0.56,2.27,13.87,87.82,425.25,87781842000,0.6,2.66
N,84.2,54.29,113.19,19815772000,0.83,26.71,51.55,65.99,125.09,20012529000,0.61,15.79,27.3,78.55,158.69,11963885000,0.76,14.91,32.21,75.64,226.2,20138795000,0.3,3.06,28.82,77.63,335.68,25188505000,0.55,6.01
N,98.6,50.35,113.19,1.05E+11,0.57,4.12,95.75,51.09,34.85,1.04E+11,0.59,4.23,91.93,52.1,37.22,1.02E+11,0.67,5.25,79.7,55.65,48.41,1.01E+11,0.72,5.67,68.64,59.3,48.65,1.07E+11,0.74,5.55
N,27.9,78.18,113.19,40423770000,0.44,4.65,35.68,73.7,281.03,41301843000,0.54,4.06,33.53,74.89,178.24,42974736000,0.49,3.52,47.76,67.68,386.66,53849196000,0.55,4.8,54.92,64.55,195.74,65035613000,0.53,5.25
N,373.05,21.14,113.19,32798093000,0.86,10.63,251.14,28.48,68.5,34875092000,0.94,13.09,261.86,27.64,149.78,19949168000,4.25,77.41,39.65,71.61,203.77,18441576000,1.15,24.41,22.75,81.46,240.98,21972686000,0.25,4.4
N,56.1,64.06,113.19,1.13E+11,1.08,9.55,61.03,62.1,122.34,1.20E+11,0.81,7.7,73.23,57.73,110.71,1.42E+11,0.8,7.96,74,57.47,75.55,1.49E+11,0.78,7.34,74.59,57.28,86.92,1.69E+11,0.77,7.73
N,25.34,79.78,113.19,12139784000,1.51,25.68,57.57,63.46,174.51,18082537000,2.59,9.96,481.3,17.2,86.44,8642576000,2.68,8.02,18.18,84.62,676.5,20738834000,0.53,7.26,22.33,81.75,368.01,17403763000,0.04,1.86
N,80.93,55.27,113.19,30861323000,1.2,4.53,81.85,54.99,82.92,32490207000,1.25,4.14,97.09,50.74,113.15,36764162000,1.12,3.39,83.42,54.52,103.29,39652249000,0.96,3.18,74.63,57.26,77.24,38693683000,0.96,3.38
N,172.26,36.73,113.19,82421529000,1.07,7.18,116.33,46.22,70.35,78345348000,1.1,7.24,98.4,50.4,106.62,84340852000,1.24,7.76,96.35,50.93,85.38,87857145000,1.26,6.9,88.15,53.15,83.62,91621910000,1.28,6.12
N,57.4,63.53,113.19,1.46E+11,0.43,6.94,52.27,65.67,224.64,1.51E+11,0.41,6.82,83.26,54.57,229.68,1.96E+11,0.29,6.71,101.64,49.59,126.33,2.15E+11,0.3,5.71,71.23,58.4,148.6,1.97E+11,0.31,4.6
N,126.34,44.18,113.19,1.08E+11,1.35,33.75,119.36,45.59,83.03,1.11E+11,1.21,31.7,81.03,55.24,93.57,1.19E+11,1.25,30.4,53.72,65.05,125.7,1.17E+11,1.23,29.11,61.39,61.96,112.33,1.27E+11,1.16,25.57
N,75.84,56.87,113.19,1.05E+11,1.25,13.27,60.3,62.38,76.25,96374633000,0.86,11.29,60.6,62.27,61.08,94542553000,0.73,9.56,79.02,55.86,78.69,1.07E+11,0.98,12.95,57.89,63.34,75.29,98852317000,0.81,10.01
N,63.23,61.26,113.19,53275662000,1.41,22.09,61.75,61.83,104.87,60004853000,0.91,15.74,59.99,62.5,107.46,60189456000,0.87,15.06,58.3,63.17,96.74,59688987000,0.86,14.02,43.17,69.85,99.59,55129986000,0.78,11.32
N,62.1,61.69,113.19,1.02E+11,1.08,25.01,54.1,64.89,158.05,1.09E+11,0.85,9.88,25.39,79.75,242.02,85430379000,0.6,5.88,31.59,75.99,232.08,80877083000,0.45,7.79,35.72,73.68,184.31,87501848000,0.66,12.59
N,42.06,70.39,113.19,90204553000,0.68,8.11,33.46,74.93,373.46,87866650000,0.8,6.82,27.29,78.56,272.23,83598050000,0.69,7.45,34.74,74.22,172.6,94419848000,0.39,5.09,50.15,66.6,113.58,1.34E+11,0.24,5.66
N,325.49,23.5,113.19,3.03E+11,0.92,4.85,240.46,29.37,61.49,2.47E+11,0.91,6.98,176.46,36.17,48.9,2.13E+11,0.93,9.42,151.81,39.71,45.39,2.20E+11,0.86,11.23,97.75,50.57,53.58,1.94E+11,0.8,11.94
N,21.71,82.16,113.19,1.22E+11,0.27,23.25,37.56,72.69,183.25,1.04E+11,0.25,23.73,16.41,85.9,203.46,60168856000,0.22,26.8,13.18,88.36,284.78,60078698000,0.35,40.63,13.67,87.98,265.01,59303973000,0.23,15.91
N,124.68,44.51,113.19,94335759000,1.28,24.37,103.81,49.06,109.59,91688406000,1.33,32.37,51.41,66.04,161.17,84571642000,1.41,34.21,60.28,62.39,145.35,1.07E+11,1.35,29.17,72.69,57.91,122.17,1.27E+11,1.14,25.73
N,1401.47,6.66,113.19,73724897000,1.05,3.28,232.76,30.05,50.99,64694064000,1.11,4.21,214.35,31.81,53.85,64976922000,1.32,4.84,182.97,35.34,55.1,62481501000,1.31,5.01,155.56,39.13,54.1,66959626000,1.11,4.48
N,14.71,87.17,113.19,68789564000,0.4,696.45,15.01,86.95,302.18,78052674000,0.43,895.52,13.65,87.99,306.69,85854792000,0.39,864.43,16.62,85.75,179.35,96224387000,0.38,747.51,36.92,73.04,113.59,1.20E+11,0.31,578.56
N,40.8,71.02,113.19,56222086000,1.09,7.98,25.49,79.69,290.89,49578775000,0.97,6.58,34.06,74.6,235.08,50149163000,0.99,6.73,28.49,77.83,268.22,47414559000,1,7.66,33.68,74.8,214.44,49821858000,1.15,8.73
N,7.45,93.06,113.19,45101040000,0.06,6.58,2.25,97.8,4002.78,48835830000,0.19,36.53,2.29,97.76,5084.36,43265079000,0.04,13.68,3.49,96.63,2720.2,39660461000,0.1,10.83,4.66,95.54,2302.16,42274782000,0.25,18.34
N,14.5,87.33,113.19,91399445000,0.56,7.92,17.73,84.94,384.64,92123395000,0.76,7.67,13.43,88.16,470.32,92050827000,0.73,5.6,11.55,89.65,629.24,89411800000,0.58,4.03,13.73,87.93,456.64,93208811000,0.73,5
N,95.66,51.11,113.19,3.40E+11,0.38,2059.88,96.25,50.96,51.28,3.46E+11,0.36,2330.37,127.94,43.87,24.22,4.09E+11,0.29,345.36,82.21,54.88,170.3,3.40E+11,0.28,257.6,71.15,58.43,169.17,3.04E+11,0.36,333.41
N,42.91,69.98,113.19,38391512000,0.72,3.68,41.32,70.76,131.18,40324407000,0.81,4.22,49.9,66.71,110.8,47285508000,0.81,4.95,40.61,71.12,143.6,53599347000,0.67,3.67,24.15,80.55,200.01,47883444000,0.59,2.85
N,106.71,48.38,113.19,79119735000,0.87,3.97,139.5,41.75,62.48,94160850000,1.31,5.34,183.19,35.31,54.05,1.02E+11,1.39,5.43,166.63,37.51,63.08,1.01E+11,1.36,5.67,188.73,34.63,57.19,1.20E+11,1.08,4.55
N,24.1,80.58,113.19,1.35E+11,1.71,22.35,36.32,73.36,250.6,1.50E+11,1.51,39.03,25.38,79.76,389.83,1.52E+11,1.67,59.81,28.43,77.86,285.94,1.58E+11,1.42,39.68,23.84,80.75,315.5,1.63E+11,1.49,21.88
N,75.14,57.1,113.19,36613936000,0.41,3.14,49.49,66.9,209.83,36696313000,0.38,2.8,36.04,73.51,184.39,43048678000,0.48,4.32,50.62,66.39,292.93,38696733000,0.23,2.32,109.2,47.8,130.52,32120645000,0.25,2.32
N,94.41,51.44,113.19,47018513000,1.28,2.1,159.82,38.49,41.51,38200111000,1.44,2.47,89.75,52.7,57.09,52622261000,1.42,2.84,124.98,44.45,43.16,96870939000,1.24,2.78,121.44,45.16,44.67,1.12E+11,1.13,2.54
N,57.63,63.44,113.19,2.00E+11,1.33,143.35,67.34,59.76,200.58,2.25E+11,1.3,190.27,65.07,60.58,210.83,2.23E+11,1.44,143.07,65.48,60.43,183.36,2.27E+11,1.28,93.83,85.07,54.03,152.45,2.60E+11,1.2,90.78
N,71.44,58.33,113.19,50081334000,0.31,3.34,93.37,51.71,351.05,44443980000,0.29,3.25,84.56,54.18,406.85,46319139000,0.42,4.2,20.18,83.21,394.23,46185844000,0.44,4.57,19.41,83.74,635.63,58551326000,0.36,4.82
N,52.34,65.64,113.19,31513905000,0.89,4.72,38.41,72.25,363.82,31322965000,0.81,3.78,63.65,61.11,129.98,42419404000,0.82,4.1,21.27,82.46,394.84,74835090000,0.61,4.43,17.74,84.93,198.96,79356291000,0.54,4.84
N,123.54,44.73,113.19,1.93E+11,1.07,3.27,83.9,54.38,103.13,2.18E+11,1.16,3.96,87.56,53.32,91.97,2.55E+11,1.15,4.44,100.08,49.98,93.43,2.89E+11,1.07,4.05,67.63,59.66,104.67,2.64E+11,1.08,3.76
N,43.13,69.87,113.19,33806073000,1.36,11.92,63.16,61.29,76.9,40783541000,1.12,9.96,57.69,63.42,104.76,48615278000,1.48,13.53,62.55,61.52,101.67,60453988000,1.43,15.89,60.87,62.16,94.03,72608747000,1,15.17
N,12.47,88.91,113.19,20527638000,0.43,126.07,13.28,88.27,839.72,19273467000,0.41,92.95,16.75,85.65,700.33,16164938000,0.44,102.63,22.53,81.61,155.54,35771444000,0.35,167.76,23.4,81.04,198.42,39422548000,0.54,402.77
N,11.38,89.78,113.19,1.94E+11,0.67,8.27,9.8,91.07,516.35,2.03E+11,0.58,7.68,9.26,91.53,590.3,2.03E+11,0.47,6.75,10.14,90.79,547.06,2.06E+11,0.44,7,9.35,91.45,622.16,2.04E+11,0.37,6.33
N,35.2,73.96,113.19,68189496000,1.19,71.75,34.97,74.09,284.26,76562098000,1.1,73.76,35.08,74.03,250.29,79390988000,1.31,71.99,25.65,79.59,334.81,82233016000,1.27,53.54,14.05,87.68,564.47,85119150000,1.26,43.71
N,15.56,86.54,113.19,45233434000,0.9,73.04,12.02,89.27,471.49,44676182000,0.98,111.17,8.69,92.01,1192.79,47509654000,0.99,109.46,8.95,91.79,694.35,44914173000,0.8,107.59,5.02,95.22,1238.36,47123684000,0.8,111.32
N,9.59,91.25,113.19,53151312000,0.78,15.63,6.73,93.69,788.96,50648025000,0.69,14.55,10.11,90.82,455.9,51781107000,0.73,10.76,9.73,91.13,494.94,46066355000,0.8,9.3,14.82,87.1,325.22,43749537000,0.76,10
N,140.78,41.53,113.19,1.13E+11,1.65,13.27,133.59,42.81,129.19,1.12E+11,1.41,11.6,128.12,43.84,139.95,1.14E+11,1.59,12.67,150.78,39.88,134.69,1.09E+11,1.66,16.4,113.08,46.93,124.89,1.01E+11,1.39,12.89
N,115.16,46.48,113.19,19339665000,1.4,40.55,149.3,40.11,91.94,14679657000,1.08,51.31,140.56,41.57,129.86,11575507000,0.99,64.31,29.73,77.08,661.39,15797399000,0.24,11.44,46.11,68.44,378.8,18468597000,0.44,18.08
N,269.89,27.03,113.19,80318228000,1.1,3.93,2212.08,4.33,36.23,64800425000,0.68,3.03,1362.71,6.84,63.93,36571570000,0.41,2.54,614.44,14,56.43,50245956000,0.92,5.94,296.05,25.25,61,36117303000,1.14,9.1
N,71.58,58.28,113.19,1.27E+11,0.36,7.43,86.09,53.74,106.04,1.27E+11,0.38,7.99,82.8,54.7,93.44,1.31E+11,0.44,8.24,76.58,56.63,85.62,1.30E+11,0.55,8.63,71.8,58.21,104.36,1.33E+11,0.69,8.79
N,16.95,85.51,113.19,72643837000,0.86,4.1,16.01,86.2,285.28,73719705000,0.81,3.99,25.32,79.8,279.97,82814407000,0.71,3.57,24.08,80.59,295.36,85972921000,0.67,4.08,21.91,82.02,162.98,89088705000,0.65,4.41
N,18.25,84.57,113.19,1.18E+11,0.61,38.36,16.54,85.81,327.36,1.24E+11,0.73,35.37,33.05,75.16,281.71,1.56E+11,1.3,37.69,48.63,67.28,145.21,1.84E+11,1.58,48.48,54.83,64.59,131.66,1.78E+11,1.6,35.1
N,312.67,24.23,113.19,1.17E+11,1.42,36.06,261.24,27.68,59.65,1.05E+11,1.33,33.83,286.53,25.87,75.24,1.26E+11,1.52,38.65,251.01,28.49,64.89,1.22E+11,1.48,38.13,260.73,27.72,52.52,1.27E+11,1.52,36.87
N,43.35,69.76,113.19,98339090000,0.57,8.62,52.91,65.4,120.33,1.37E+11,0.45,6.55,23.94,80.68,178.76,1.23E+11,0.4,5.84,15.83,86.34,344.62,1.29E+11,0.46,7.38,22.18,81.85,479.84,1.76E+11,0.44,7.98
N,177.08,36.09,113.19,66911221000,0.33,8.04,621.91,13.85,16.27,59464743000,0.46,15.5,423.57,19.1,98.23,66648509000,0.69,27.34,390.23,20.4,89.87,49988015000,0.96,24.94,93.32,51.73,82.93,50431960000,1.25,25.35
N,138.27,41.97,113.19,2.03E+11,1.76,16.24,125.46,44.35,104.67,2.04E+11,1.88,21.42,127.67,43.92,112.53,2.43E+11,1.83,31.7,97.17,50.72,121.46,2.23E+11,1.12,33.03,91.39,52.25,129.65,2.37E+11,1.16,50.14
N,63.62,61.12,113.19,63862358000,0.36,3.49,90.82,52.41,239.52,75454549000,0.3,3.48,144.11,40.97,59.4,1.09E+11,0.28,3.02,134.67,42.61,85.11,1.24E+11,0.3,3.34,75.51,56.98,111.88,1.33E+11,0.28,3.45
N,58.19,63.21,113.19,77639190000,1.58,17.59,39.4,71.73,134.87,76443164000,1.53,18.63,45.68,68.64,146.25,87752617000,1.75,22.7,52.22,65.69,140.73,99624280000,1.6,20.14,34.41,74.4,169.56,62529104000,1.22,15.15
N,36.76,73.12,113.19,2.46E+11,0.63,4.99,46.77,68.13,150.78,3.02E+11,0.75,5.41,44.52,69.19,156.02,3.35E+11,0.68,4.14,29.99,76.93,213.41,3.58E+11,0.79,4.18,19.72,83.53,274.04,3.56E+11,0.65,3.28
N,63.54,61.15,113.19,9026827000,1.23,5.76,43.7,69.59,270.81,17447700000,0.9,6.25,29.31,77.33,473.13,24286457000,0.86,7.99,79.2,55.8,158.35,44385117000,0.72,11.39,8.01,92.58,1808.15,1.69E+11,0.35,10.73
N,67.54,59.69,113.19,35730049000,0.74,6.43,95.19,51.23,69.91,36511904000,0.66,5.31,144.56,40.89,49.34,35232093000,0.72,5.46,60.96,62.13,111.62,38804786000,1.01,7.51,93.06,51.8,70.36,45209525000,0.92,6.96
N,14.44,87.38,113.19,93167304000,0.41,230.38,9.77,91.1,134.19,93642626000,0.48,86.57,14.51,87.33,104.77,1.01E+11,0.57,43.73,26.76,78.89,98.45,1.16E+11,0.5,21.07,25.73,79.54,55.24,1.20E+11,0.41,15.77
N,7.96,92.63,113.19,71209202000,0.59,15.09,23.4,81.04,633.54,86073244000,0.78,19.32,21.97,81.99,332.17,89799113000,0.33,10.87,21.23,82.49,325.6,89262324000,0.1,5.77,31.26,76.18,282.76,91531223000,0.12,15.82
N,73.65,57.59,113.19,1.45E+11,0.7,10.98,77.96,56.19,114.82,1.52E+11,0.51,10.84,66.13,60.19,105.35,1.65E+11,0.65,10.62,88.72,52.99,114.2,2.38E+11,0.65,9.55,68.79,59.25,171.63,2.32E+11,0.42,7.34
N,13.96,87.75,113.19,74336180000,0.69,6.05,14.91,87.03,451.85,77728948000,0.7,5.81,18.67,84.27,458.34,57558696000,0.54,4.58,19.78,83.49,414.74,56145766000,0.63,7.42,18.17,84.62,406.27,65823023000,1.04,8.62
N,59.3,62.77,113.19,9.67E+11,1.06,27.4,53.8,65.02,199.67,1.06E+12,1.01,33.57,47.88,67.62,218.23,1.18E+12,0.93,50.84,44.93,69,221.15,1.30E+12,0.85,48.7,32.85,75.27,229.74,1.24E+12,0.86,49.99
N,164.71,37.78,113.19,18700042000,0.82,10.66,142.84,41.18,65.68,19977771000,0.79,8.71,178.36,35.92,51.38,25610652000,0.68,8.11,124.46,44.55,92.41,22380167000,0.82,7.93,38.15,72.38,283.49,35219911000,0.94,9.74
N,162.99,38.02,113.19,1.68E+11,0.54,9.28,124.95,44.45,20.77,1.54E+11,0.55,10.95,119.32,45.6,23.55,1.52E+11,0.58,10.53,114.04,46.72,31.54,1.61E+11,0.7,11.17,121.51,45.14,27.84,1.76E+11,0.73,10.32
N,12.64,88.78,113.19,1.55E+11,0.38,2155.73,16.94,85.51,164.09,1.88E+11,0.33,4799.77,7.35,93.15,525.17,1.81E+11,0.31,187519.97,7.01,93.45,496,1.83E+11,0.32,358712.85,8.23,92.4,376.51,1.89E+11,0.33,3621.31
N,125.09,44.43,113.19,65157256000,1.17,26.25,128.57,43.75,127.24,61308271000,1.19,34.32,154.67,39.27,107.61,60079196000,0.97,43.78,122.96,44.85,107.08,61801695000,0.95,49.24,73.25,57.72,147.09,57637697000,0.94,66.37
N,14.57,87.29,113.19,1.33E+11,0.81,9.55,6.75,93.68,509.89,1.27E+11,0.48,5.85,9.5,91.32,438.56,1.24E+11,0.6,6.95,12.32,89.03,416.87,1.34E+11,0.82,10.27,8.07,92.54,513.61,1.36E+11,0.6,7.99
N,75.63,56.94,113.19,1.17E+11,0.88,12.25,28.71,77.69,197.87,94488684000,0.87,11.59,50.02,66.66,105.34,1.10E+11,0.89,9.62,68.16,59.47,87.77,1.11E+11,0.87,10.5,51.3,66.09,113.07,1.20E+11,1.14,12.99
N,156.55,38.98,113.19,1.04E+11,1.05,14.51,115.09,46.49,106.42,96468758000,0.94,13.95,111.33,47.32,76.65,97971145000,0.86,12.35,105.33,48.7,67.56,95770019000,0.9,12.79,117.84,45.91,58.55,99346706000,1,11.59
N,22.14,81.87,113.19,55350769000,0.89,9.57,33.25,75.05,185.8,50170479000,0.98,8.37,39.18,71.85,193.86,58259692000,1.03,8.58,39.83,71.52,212.5,60659355000,0.89,8.44,37.88,72.52,239.93,65683176000,0.84,6.67
N,95.49,51.15,113.19,56159329000,1.13,11.73,99.59,50.1,180.11,55754653000,0.8,14.22,98.99,50.26,122.54,52322091000,0.73,15.69,101.39,49.65,87.58,33575978000,0.71,20.06,88.6,53.02,149.48,32560437000,0.97,23.21
N,54.91,64.56,113.19,1.15E+11,1.38,15.64,53.23,65.26,145.8,1.40E+11,2.16,20.94,47.39,67.85,170.36,1.46E+11,1.68,17.54,58.65,63.03,163.2,1.64E+11,1.37,22.61,24.43,80.36,323.24,1.54E+11,1.3,31.16
N,35.56,73.77,113.19,47818535000,0.34,17.6,33.27,75.03,57.23,46143043000,0.18,7.59,44.83,69.05,55.4,39759911000,0.19,11.41,68.43,59.37,43.81,55808633000,0.24,11.71,119.17,45.63,38.89,40636905000,0.35,15.49
N,58.29,63.18,113.19,68706416000,0.52,8.71,87.25,53.4,145.3,57297073000,0.42,6.03,55.9,64.14,126.98,62247363000,0.54,9.89,49.94,66.7,131.86,62994822000,0.55,25.82,35.76,73.66,169.68,65554569000,0.83,18.88
N,22.07,81.92,113.19,1.69E+11,1.03,6.42,14.3,87.49,368.29,1.71E+11,0.94,4.55,11.83,89.42,488.44,1.84E+11,0.96,3.54,10.44,90.54,522.19,1.82E+11,0.81,3,10.63,90.39,628.35,2.35E+11,1.16,4.69
N,97.05,50.75,113.19,92623943000,0.84,2.87,66.76,59.97,83.21,80666320000,0.83,2.59,87.27,53.4,87.98,95266142000,0.83,2.56,72.33,58.03,114.38,99976690000,0.87,2.86,45.8,68.59,162.07,95220516000,1.09,4.32
N,52.4,65.62,113.19,2.06E+11,0.72,61.45,45.96,68.51,124.43,1.89E+11,0.32,51.67,39.24,71.82,141.93,1.77E+11,0.39,65.69,36.66,73.17,137.09,1.79E+11,0.54,30.76,49.05,67.09,122.25,2.16E+11,0.65,29
N,190.15,34.47,113.19,1.83E+11,0.84,15.28,202.54,33.05,61.82,1.16E+11,0.2,2.71,125.31,44.38,67.3,1.01E+11,0.36,4.15,127.85,43.89,55.3,94282631000,0.43,4.93,102.07,49.49,27.54,92588514000,0.5,5.37
N,25.79,79.5,113.19,71813709000,0.9,33.75,22.5,81.64,507.46,84457487000,0.81,37.16,23.37,81.06,465.07,93595681000,0.8,38.29,26.95,78.77,420.79,1.07E+11,0.84,44.58,25.02,79.99,421.51,1.14E+11,0.84,30.71
N,35.96,73.55,113.19,75413670000,0.58,11.48,36.69,73.16,92.77,75394157000,0.45,8.13,57.16,63.63,162.3,67011369000,0.33,7.33,50.05,66.65,330.36,63364419000,0.34,11.92,36.42,73.3,322.56,55041321000,0.5,14.77
N,53.36,65.21,113.19,73149729000,0.18,3.21,1.85,98.19,1168.1,60337202000,0.37,4.6,5.97,94.36,496.19,62140339000,0.52,5.35,3.39,96.72,596.83,60534701000,0.44,4.34,7.18,93.3,326.41,62968883000,0.45,4.34
N,134.24,42.69,113.19,36407270000,0.28,21.88,158.67,38.66,99.93,32731630000,0.24,21.09,149.34,40.11,72.64,43446391000,0.18,111.01,134.41,42.66,131.75,1.03E+11,0.09,7.49,85.03,54.04,81.48,59726794000,0.15,12.37
N,147.65,40.38,113.19,80869457000,0.95,5.49,178.11,35.96,119.54,1.02E+11,0.87,5.83,171.57,36.82,112.98,1.02E+11,0.77,5.61,165.36,37.68,109.02,97934655000,0.82,6.35,159.32,38.56,144.22,95603248000,0.83,6.87
N,50.4,66.49,113.19,58372087000,0.96,16.07,41.07,70.89,136.94,63898235000,1.07,18.19,34.09,74.57,198.63,76620926000,1.05,21.35,43.15,69.85,180.79,91483242000,0.91,23.5,41.97,70.44,256.3,97435386000,0.83,23.86
N,279.91,26.32,113.19,84542136000,2.02,28.73,206.83,32.59,30.96,74478389000,2.22,28.13,168.25,37.28,34.6,69498156000,2.37,48.85,83.12,54.61,67.68,83074097000,1.87,66.55,141.39,41.43,25.57,1.00E+11,1.2,51.93
N,16.19,86.06,113.19,28586781000,1,6.46,13.43,88.16,497.51,31616562000,1.06,7.4,13.22,88.32,582.14,33420446000,0.85,5.62,16.73,85.67,350.79,36813000000,0.91,5.37,13.43,88.16,407.16,37716319000,0.77,4.85
N,23.61,80.9,113.19,65138044000,0.75,406.48,41.97,70.44,374.29,81167812000,0.55,143.37,43.79,69.55,188.38,86955232000,0.55,147.42,28.46,77.84,221.73,83773016000,0.76,180.56,29.18,77.41,223.38,88603761000,0.66,107.85
N,73.84,57.53,113.19,1.06E+11,0.88,12.13,81.69,55.04,100.5,1.55E+11,1.13,12.34,83.19,54.59,80.07,1.94E+11,1.22,9.73,72.74,57.89,84.33,2.04E+11,1.09,7.05,81.65,55.05,86.57,2.30E+11,1.13,7
N,58.4,63.13,113.19,1.05E+11,3.21,17.34,53.05,65.34,164.72,1.07E+11,3.98,29.88,32.49,75.48,239.02,1.06E+11,3.84,36.84,28.32,77.93,275.64,1.09E+11,3.37,34.04,15.62,86.49,462.94,1.07E+11,2.74,35.68
N,183.37,35.29,113.19,8630711000,3.12,48.24,142.84,41.18,102.95,17661771000,3.52,58.65,75.26,57.06,148.63,19921435000,2.43,38.78,93.23,51.75,112.24,34756338000,2.64,54.63,45.91,68.54,131.57,42179730000,2.31,56.07
N,60.72,62.22,113.19,1.27E+11,0.99,99.5,29.54,77.2,176.49,1.10E+11,0.58,99,31.07,76.29,215.76,1.16E+11,0.73,212.99,17.24,85.29,390.15,1.12E+11,0.67,122.71,65.62,60.38,70.27,1.60E+11,0.49,83.25
